protein accession	genome accession
MPSW01000651.1_K04564_015d9ebc	GCA_001896105.1
MPSW01001707.1_K04564_7b9e297c	GCA_001896105.1
RDEB01000110.1_K04564_86e229fd	GCA_006542545.1
BLAZ01000169.1_K04564_9f65b912	GCA_014633955.1
BLEZ01003184.1_K04564_dc8bf6ad	GCA_014633975.1
BLFE01002088.1_K04564_10e43317	GCA_014634605.1
JAJLRJ010000007.1_K04564_fcb962ee	GCA_024195265.1
JAJLRJ010000014.1_K04564_3e2b9a48	GCA_024195265.1
KAJ7371307.1	GCA_029204205.1
KAJ7390115.1	GCA_029204205.1
MU825420.1_K04564_3d91ab54	GCA_029204205.1
MU826849.1_K04564_291d850d	GCA_029204205.1
JARQWQ010000030.1_K04564_a7361c5a	GCA_032359415.1
KAK2562129.1	GCA_032359415.1
JAUTBS010441823.1_K04564_f032f926	GCA_032361285.1
JAUJYZ010000740.1_K04564_87e6c451	GCA_033675265.1
JAUJYZ010000745.1_K04564_47603ed6	GCA_033675265.1
KAK3736516.1	GCA_033675265.1
KAK3736644.1	GCA_033675265.1
CM106374.1_K04564_529830d2	GCA_047906015.2
CM106378.1_K04564_64fa28d1	GCA_047906015.2
CAB3989857.1	GCA_902702795.2
CAB3994625.1	GCA_902702795.2
CACRXK020001562.1_K04564_ba438d0e	GCA_902702795.2
CACRXK020002501.1_K04564_f2b5b9d1	GCA_902702795.2
CACRXK020033196.1_K04564_522e7a5b	GCA_902702795.2
CAH3015114.1	GCA_942486025.1
CAH3167338.1	GCA_942486025.1
CAH3184524.1	GCA_942486025.1
CALNXI010000019.1_K04564_88477d8a	GCA_942486025.1
CALNXI010000019.1_K04564_9c58f698	GCA_942486025.1
CALNXI010001387.1_K04564_b0e36d4a	GCA_942486025.1
CALNXI010002198.1_K04564_dfc5bba7	GCA_942486025.1
CAH3113625.1	GCA_942486035.1
CAH3121122.1	GCA_942486035.1
CALNXK010000026.1_K04564_ed584393	GCA_942486035.1
CALNXK010000035.1_K04564_4c740ac6	GCA_942486035.1
CAH3109050.1	GCA_942486045.1
CAH3154858.1	GCA_942486045.1
CALNXJ010000011.1_K04564_5e644e17	GCA_942486045.1
CALNXJ010000056.1_K04564_bcab822f	GCA_942486045.1
OZ116702.1_K04564_7a632fe8	GCA_964199315.1
OZ116712.1_K04564_f67ada29	GCA_964199315.1
NW_001830281.1_K04564_aabf75a2	GCF_000209225.1
NW_001834379.1_K04564_218b7627	GCF_000209225.1
NW_001834409.1_K04564_dd4ebe9b	GCF_000209225.1
XP_001641079.1	GCF_000209225.1
XP_032242609.1	GCF_000209225.1
NW_015441130.1_K04564_74b04aa7	GCF_000222465.1
XP_015756014.1	GCF_000222465.1
NW_018384609.1_K04564_9ada1ad3	GCF_001417965.1
NW_018385051.1_K04564_bf905449	GCF_001417965.1
XP_020892835.1	GCF_001417965.1
XP_020896468.1	GCF_001417965.1
NW_018149874.1_K04564_116bcf4d	GCF_002042975.1
NW_018149988.1_K04564_d6a2d83a	GCF_002042975.1
XP_020623159.1	GCF_002042975.1
XP_020624989.1	GCF_002042975.1
NW_019217915.1_K04564_8c7a1a6e	GCF_002571385.2
NW_019218106.1_K04564_a8e289e7	GCF_002571385.2
XP_022789717.1	GCF_002571385.2
XP_022799031.1	GCF_002571385.2
NW_020845403.1_K04564_b41b5453	GCF_003704095.1
NW_020845583.1_K04564_8abeba60	GCF_003704095.1
XP_027044652.1	GCF_003704095.1
XP_027045969.1	GCF_003704095.1
NW_021126546.1_K04564_2e4adbc0	GCF_004143615.1
XP_029200276.1	GCF_004143615.1
NW_021163045.1_K04564_93184bc0	GCF_004324835.1
NW_021163057.1_K04564_58bba69c	GCF_004324835.1
XP_028402961.1	GCF_004324835.1
XP_028405302.1	GCF_004324835.1
NW_022259326.1_K04564_c5c784a5	GCF_009602425.1
NW_022259448.1_K04564_94b23c3f	GCF_009602425.1
XP_031555730.1	GCF_009602425.1
XP_031556222.1	GCF_009602425.1
XP_065051554.1	GCF_013076305.1
XP_065052710.1	GCF_013076305.1
NC_058072.1_K04564_d76f083e	GCF_013753865.1
NC_058072.1_K04564_e7306cec	GCF_013753865.1
XP_029200276.2	GCF_013753865.1
XP_044179376.1	GCF_013753865.1
NW_025813402.1_K04564_d3bead77	GCF_021976095.1
NW_025813488.1_K04564_dc28fde6	GCF_021976095.1
XP_046848022.1	GCF_021976095.1
NW_026709483.1_K04564_f6c44c1b	GCF_030620025.1
NW_026710474.1_K04564_6393b7b3	GCF_030620025.1
XP_058945240.1	GCF_030620025.1
XP_058961470.1	GCF_030620025.1
NC_090047.1_K04564_9ff9e7e6	GCF_036669905.1
XP_067022095.1	GCF_036669905.1
NC_089313.1_K04564_d4ce240d	GCF_036669915.1
NC_089321.1_K04564_80b85b49	GCF_036669915.1
XP_058945240.2	GCF_036669915.1
NC_090883.1_K04564_15cd5c3b	GCF_036669925.1
XP_068741652.1	GCF_036669925.1
NC_090876.1_K04564_d2caed50	GCF_036669935.1
XP_068715352.1	GCF_036669935.1
NC_088930.1_K04564_c6107477	GCF_038396675.1
NP_001296665.1	GCF_038396675.1
NC_064035.1_K04564_8bf6ddb6	GCF_932526225.1
NC_064035.1_K04564_e2e0e4b8	GCF_932526225.1
XP_048580243.1	GCF_932526225.1
